,year,selling_price,km_driven,fuel,seller_type,transmission,owner,selling_price_log,km_driven_log
0,2007,60000,70000,Petrol,Individual,Manual,First Owner,11.002116507732017,11.156264806643742
1,2007,135000,50000,Petrol,Individual,Manual,First Owner,11.813037464800539,10.819798284210286
2,2012,600000,100000,Diesel,Individual,Manual,First Owner,13.304686600863562,11.51293546492023
3,2017,250000,46000,Petrol,Individual,Manual,First Owner,12.429220196836383,10.736418414365376
4,2014,450000,141000,Diesel,Individual,Manual,Second Owner,13.017005083966255,11.856522261533737
5,2007,140000,125000,Petrol,Individual,Manual,First Owner,11.849404844423074,11.736077016252437
6,2016,550000,25000,Petrol,Individual,Manual,First Owner,13.217675375388819,10.12667110305036
7,2014,240000,60000,Petrol,Individual,Manual,Second Owner,12.388398368982115,11.002116507732017
8,2015,850000,25000,Petrol,Individual,Manual,First Owner,13.652992804936396,10.12667110305036
9,2017,365000,78000,CNG,Individual,Manual,First Owner,12.807655372286902,11.264476926102367
10,2015,260000,35000,Petrol,Individual,Manual,First Owner,12.468440756144114,10.463131911491967
11,2014,250000,100000,Petrol,Individual,Manual,First Owner,12.429220196836383,11.51293546492023
12,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,14.316286451937186,10.12667110305036
26,2015,585000,24000,Petrol,Dealer,Manual,First Owner,13.279368835614243,10.085850775128717
27,2019,1195000,5000,Diesel,Dealer,Manual,First Owner,13.993657580167481,8.517393171418904
28,2013,390000,33000,Diesel,Individual,Manual,Second Owner,12.873904582205107,10.404293143019792
29,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner,14.491002803285499,10.239995502805316
30,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.169683073439028,10.985309671896763
31,2018,975000,4500,Diesel,Dealer,Automatic,First Owner,13.790193775620484,8.412054873292933
32,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner,13.989464705423494,12.077676615757813
33,2018,930000,14500,Petrol,Dealer,Manual,First Owner,13.742940940397677,9.581972891547895
34,2018,525000,15000,Petrol,Individual,Manual,First Owner,13.171155446333852,9.61587214452889
35,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner,14.366518547731806,10.819798284210286
36,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner,14.13396501635527,10.428245666832275
37,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner,13.017005083966255,11.778369597156942
38,2016,900000,50000,Petrol,Individual,Automatic,First Owner,13.710151153416941,10.819798284210286
39,2015,1300000,80000,Diesel,Individual,Manual,First Owner,14.077875591662238,11.289794413577894
40,2019,1400000,10000,Petrol,Individual,Manual,First Owner,14.151983508870947,9.210440366976517
41,2010,850000,119000,Petrol,Dealer,Automatic,First Owner,13.652992804936396,11.686887175419702
42,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,12.345834587905333,11.002116507732017
43,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner,14.253766134056512,11.235866764155578
44,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner,14.038654909278163,11.264476926102367
45,2012,625000,40000,Diesel,Individual,Manual,First Owner,13.345508528717259,10.596659732783579
46,2014,1050000,50000,Diesel,Individual,Manual,First Owner,13.864301674514206,10.819798284210286
47,2014,560000,74000,Diesel,Individual,Manual,Second Owner,13.235693848424024,11.211833885608513
48,2014,290000,64000,Petrol,Individual,Manual,Second Owner,12.577639650232573,11.06665398721974
49,2012,275000,60000,Petrol,Individual,Manual,Second Owner,12.524530013005734,11.002116507732017
50,2009,411000,120000,Diesel,Individual,Manual,Second Owner,12.926350926565435,11.695255355062795
51,2009,150000,79000,Petrol,Individual,Manual,Third Owner,11.918397239722838,11.277215789596893
52,2019,500000,15000,Petrol,Individual,Manual,First Owner,13.122365377402328,9.61587214452889
53,2006,100000,80000,Petrol,Individual,Manual,First Owner,11.51293546492023,11.289794413577894
54,2017,725000,18500,Diesel,Dealer,Manual,First Owner,13.493928313146206,9.825580063659602
55,2018,401000,10200,Petrol,Dealer,Manual,First Owner,12.901719200051183,9.23024103368252
56,2018,750000,29000,Diesel,Dealer,Manual,First Owner,13.527829818844937,10.275085591132715
57,2018,310000,28000,Petrol,Dealer,Manual,First Owner,12.644330802262578,10.239995502805316
58,2016,665000,46000,Diesel,Dealer,Manual,First Owner,13.407543823396258,10.736418414365376
59,2014,465000,70000,Diesel,Dealer,Manual,First Owner,13.049794835104816,11.156264806643742
60,2012,160000,60000,Petrol,Individual,Manual,Second Owner,11.982935344196433,11.002116507732017
61,1996,250000,35000,Diesel,Individual,Manual,Second Owner,12.429220196836383,10.463131911491967
62,2014,675000,90000,Diesel,Dealer,Manual,First Owner,13.42246945133505,11.407576060361786
63,2013,300000,80000,Petrol,Dealer,Manual,First Owner,12.611541086966115,11.289794413577894
64,2005,70000,80000,Diesel,Individual,Manual,First Owner,11.156264806643742,11.289794413577894
65,2014,240000,73300,Petrol,Dealer,Manual,Second Owner,12.388398368982115,11.202329530346486
66,2014,525000,92000,Diesel,Dealer,Manual,First Owner,13.171155446333852,11.429554725537322
67,2009,151000,66764,Petrol,Dealer,Manual,Second Owner,11.92504173829169,11.108934270118064
68,2009,140000,100000,Petrol,Individual,Manual,First Owner,11.849404844423074,11.51293546492023
69,2010,280000,350000,Diesel,Individual,Manual,Second Owner,12.54254845357358,12.765691290604371
70,2011,350000,230000,Diesel,Individual,Manual,First Owner,12.765691290604371,12.345838935721968
71,2017,570000,60000,Diesel,Individual,Manual,First Owner,13.25339339419516,11.002116507732017
72,2018,300000,31000,Petrol,Individual,Manual,First Owner,12.611541086966115,10.34177474101152
73,2007,100000,39000,Diesel,Individual,Manual,First Owner,11.51293546492023,10.571342565808699
74,2009,500000,120000,Diesel,Individual,Manual,Third Owner,13.122365377402328,11.695255355062795
75,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,11.736077016252437,12.019749091416921
76,2006,130000,110000,Petrol,Individual,Manual,Third Owner,11.775297421715827,11.608244735642321
77,2017,925000,35000,Diesel,Individual,Manual,First Owner,13.73755009757506,10.463131911491967
78,2018,750000,60000,Diesel,Individual,Manual,First Owner,13.527829818844937,11.002116507732017
79,2007,200000,54000,Petrol,Individual,Automatic,Second Owner,12.206077645517674,10.896757843893464
80,2010,248000,63000,Petrol,Individual,Manual,Second Owner,12.421188057397055,11.050905878263567
81,2014,450000,120000,Diesel,Individual,Manual,Second Owner,13.017005083966255,11.695255355062795
82,2005,80000,120000,Petrol,Individual,Manual,Third Owner,11.289794413577894,11.695255355062795
83,2014,650000,76000,Petrol,Individual,Manual,Second Owner,13.384729180332174,11.23850177707664
84,2015,450000,80000,Diesel,Individual,Manual,First Owner,13.017005083966255,11.289794413577894
85,2019,650000,25000,Diesel,Individual,Manual,First Owner,13.384729180332174,10.12667110305036
86,2016,495000,11958,Petrol,Dealer,Manual,First Owner,13.112315061750808,9.389239411968807
87,2015,371000,20000,Petrol,Dealer,Manual,First Owner,12.82396003700373,9.90353755128617
88,2017,1025000,9000,Petrol,Dealer,Manual,First Owner,13.840204146163925,9.105090961257085
89,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner,15.913528607916424,8.77971129020447
90,2015,750000,70000,Diesel,Individual,Manual,First Owner,13.527829818844937,11.156264806643742
91,2013,600000,120000,Diesel,Individual,Manual,First Owner,13.304686600863562,11.695255355062795
92,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,11.289794413577894,10.968215530759236
93,2013,325000,62200,Diesel,Dealer,Manual,First Owner,12.691583538230217,11.038126355768453
94,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,14.200773639026796,10.434145214930487
95,2015,350000,53000,Diesel,Individual,Manual,Second Owner,12.765691290604371,10.87806606028079
96,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner,14.845130332288226,10.799595985047786
97,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,12.25486757159303,9.61587214452889
98,2013,450000,50000,Petrol,Individual,Manual,First Owner,13.017005083966255,10.819798284210286
99,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner,13.955273369904273,10.87806606028079
100,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,12.25486757159303,11.05881093278828
101,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner,15.319588176962746,9.19023970026918
102,2017,2750000,13000,Diesel,Individual,Automatic,First Owner,14.827111833279051,9.472781556562168
103,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner,14.496079462646344,9.952325334619427
104,2008,175000,29173,Petrol,Dealer,Manual,First Owner,12.07254696717504,10.281033180646158
105,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner,14.731801689838349,10.778977123006351
106,2017,628000,120000,Diesel,Individual,Manual,First Owner,13.350297037805756,11.695255355062795
107,2010,600000,100000,Diesel,Individual,Manual,First Owner,13.304686600863562,11.51293546492023
108,2017,399000,30000,Petrol,Individual,Manual,First Owner,12.896719202134523,10.308985993422082
109,2018,750000,87000,Diesel,Individual,Manual,First Owner,13.527829818844937,11.373674891823535
110,2019,750000,15000,Petrol,Individual,Manual,First Owner,13.527829818844937,9.61587214452889
111,2017,315000,16000,Petrol,Individual,Manual,First Owner,12.660331092405906,9.680406499268875
112,2012,600000,60000,Diesel,Individual,Manual,First Owner,13.304686600863562,11.002116507732017
113,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,11.51293546492023,11.002116507732017
114,2011,250000,110000,Petrol,Individual,Manual,Third Owner,12.429220196836383,11.608244735642321
115,2017,350000,25000,Petrol,Individual,Manual,First Owner,12.765691290604371,10.12667110305036
116,2016,780000,60000,Diesel,Individual,Manual,First Owner,13.567050480716235,11.002116507732017
117,2014,434000,79350,Diesel,Individual,Manual,Second Owner,12.980802117227352,11.2816363282696
118,2016,690000,80000,Petrol,Individual,Automatic,First Owner,13.444448325847754,11.289794413577894
119,2014,555000,90000,Diesel,Individual,Manual,Second Owner,13.22672519452875,11.407576060361786
120,2007,120000,90000,Petrol,Individual,Manual,Second Owner,11.695255355062795,11.407576060361786
121,2014,500000,120000,Diesel,Individual,Manual,Second Owner,13.122365377402328,11.695255355062795
122,2013,165000,60000,Diesel,Individual,Manual,Second Owner,12.013706813470414,11.002116507732017
123,2004,95000,50000,Petrol,Individual,Manual,First Owner,11.461642696843066,10.819798284210286
124,2018,550000,20000,Petrol,Individual,Manual,First Owner,13.217675375388819,9.90353755128617
125,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,11.51293546492023,11.608244735642321
126,2012,100000,50000,Petrol,Individual,Manual,Second Owner,11.51293546492023,10.819798284210286
127,2012,500000,100000,Diesel,Individual,Manual,First Owner,13.122365377402328,11.51293546492023
128,2016,800000,70000,Diesel,Individual,Manual,Second Owner,13.592368256649284,11.156264806643742
129,2016,840000,70000,Diesel,Individual,Manual,Second Owner,13.641158361294979,11.156264806643742
130,2016,490000,50000,Petrol,Individual,Manual,First Owner,13.102162710901053,10.819798284210286
131,2010,125000,81000,Diesel,Individual,Manual,Second Owner,11.736077016252437,11.302216779257382
132,2012,400000,120000,Diesel,Individual,Manual,Third Owner,12.899222326086994,11.695255355062795
133,2015,1000000,3600,Diesel,Dealer,Manual,First Owner,13.815511557963774,8.188966863648876
134,2015,530000,14272,Petrol,Dealer,Manual,First Owner,13.180634172318978,9.566124919629768
135,2017,840000,49213,Diesel,Dealer,Manual,First Owner,13.641158361294979,10.803933414848446
136,2015,229999,40000,Petrol,Individual,Manual,First Owner,12.345834587905333,10.596659732783579
137,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,10.596659732783579,10.596659732783579
138,2012,130000,80000,Petrol,Individual,Manual,First Owner,11.775297421715827,11.289794413577894
139,2015,200000,70000,Petrol,Individual,Manual,First Owner,12.206077645517674,11.156264806643742
140,2011,120000,70000,Diesel,Individual,Manual,First Owner,11.695255355062795,11.156264806643742
141,2003,75000,57000,Petrol,Individual,Manual,First Owner,11.225256725762893,10.950824090522445
142,2016,250000,120000,Diesel,Individual,Manual,First Owner,12.429220196836383,11.695255355062795
143,2005,100000,30000,Petrol,Individual,Manual,First Owner,11.51293546492023,10.308985993422082
144,2013,280000,3240,Petrol,Individual,Manual,Second Owner,12.54254845357358,8.083637203141548
145,2015,540000,5000,Petrol,Individual,Manual,First Owner,13.199326270390594,8.517393171418904
146,2018,700000,10000,Petrol,Individual,Manual,First Owner,13.45883704259595,9.210440366976517
147,2015,525000,100000,Diesel,Individual,Manual,First Owner,13.171155446333852,11.51293546492023
148,2016,430000,80000,Diesel,Individual,Manual,First Owner,12.971542813248437,11.289794413577894
149,2002,65000,70000,Petrol,Individual,Manual,First Owner,11.082157933374816,11.156264806643742
150,2018,800000,35000,Diesel,Individual,Manual,First Owner,13.592368256649284,10.463131911491967
151,2007,75000,114000,Petrol,Individual,Manual,Second Owner,11.225256725762893,11.643962499267984
152,2008,210000,53772,Petrol,Individual,Manual,First Owner,12.25486757159303,10.892526761440571
153,2012,195000,140000,Diesel,Individual,Manual,Second Owner,12.180759965737863,11.849404844423074
154,2015,400000,120000,Diesel,Individual,Manual,First Owner,12.899222326086994,11.695255355062795
155,2012,170000,60000,Petrol,Individual,Manual,First Owner,12.04355959836804,11.002116507732017
156,2016,225000,25000,Petrol,Individual,Manual,First Owner,12.323860125621126,10.12667110305036
157,2014,210000,90000,LPG,Individual,Manual,First Owner,12.25486757159303,11.407576060361786
158,2020,240000,120000,Petrol,Individual,Manual,First Owner,12.388398368982115,11.695255355062795
159,2015,300000,175000,Diesel,Individual,Manual,First Owner,12.611541086966115,12.07254696717504
160,2011,99000,100000,Petrol,Individual,Manual,Third Owner,11.502885230075814,11.51293546492023
161,2014,620000,36000,Petrol,Individual,Manual,First Owner,13.3374763699232,10.491301994830229
162,2013,500000,30000,Diesel,Individual,Manual,First Owner,13.122365377402328,10.308985993422082
